"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021","LOOKED2022","LOOKED2023","LOOKED2024"
"UCSC","FISH","FISH","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836","Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BAITBALL","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Bait, Sardines/Anchovies","Several families and species represented.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388","Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BATH","Animalia","Chordata","Actinopterygii","Perciformes","Bathymasteridae","Bathymasteridae","spp","Bathymasteridae","WoRMS","151388","Ronquils",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BCAL","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Brachygenys","californiensis","Brachygenys californiensis","WoRMS","240721","Californian Salema",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","240721","Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BFRE","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Brachyistius","frenatus","Brachyistius frenatus","WoRMS","125519","Kelp Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS","125519","Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","BLEN","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","Blenniidae","spp","Blenniidae","WoRMS","125576","Blennies","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","125576","Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BOTH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothidae","spp","Bothidae","WoRMS","275234","Lefteyed Flounders",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","275234","Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BPOL","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","polylepis","Balistes polylepis","WoRMS","271485","Finescale Triggerfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","271485","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","BRAY","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","californica","Myliobatis californica","WoRMS","280461","Bat Ray","Sized in span of pectoral fins ('wingspan'), instead of total length.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280461","Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CAGG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","Cymatogaster aggregata","WoRMS","280219","Shiner Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CANA","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Clinocottus","analis","Clinocottus analis","WoRMS","276392","Wooly Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CGIG","Animalia","Chordata","Actinopterygii","Perciformes","Cryptacanthodidae","Cryptacanthodes","giganteus","Cryptacanthodes giganteus","WoRMS","158786","Giant Wrymouth","First observed/added in 2018",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","158786","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CITH","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","spp","Citharichthys","WoRMS","125530","Sanddabs",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","125530","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CLIN","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Clinidae","spp","Clinidae","WoRMS","10297","Kelpfishes And Fringeheads","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","10297","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CLUP","Animalia","Chordata","Actinopterygii","Clupeiformes",NA,NA,NA,"Clupeiformes","WoRMS","254577","Sardines And Anchovies",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","254577","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CNUG","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Chirolophis","nugator","Chirolophis nugator","WoRMS","125589","Mosshead Warbonnet","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","COTT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottidae","spp","Cottidae","WoRMS","125589","Sculpins","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","COTT","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Cottidae","spp","Cottidae","WoRMS","276217","Sculpins","Most species cryptic, not sampled effectively.",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CPRI","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","WoRMS","276217","Ocean Whitefish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CPRI","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","princeps","Caulolatilus princeps","WoRMS","280162","Ocean Whitefish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CPUG","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","pugetensis","Chitonotus pugetensis","WoRMS","280162","Roughback Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","CPUG","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Chitonotus","pugetensis","Chitonotus pugetensis","WoRMS","273751","Roughback Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","CPUN","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","punctipinnis","Chromis punctipinnis","WoRMS","273751","Blacksmith",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CPUN","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","punctipinnis","Chromis punctipinnis","WoRMS","280137","Blacksmith",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSAT","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema","saturnum","Cheilotrema saturnum","WoRMS","280137","Black Croaker",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSAT","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cheilotrema","saturnum","Cheilotrema saturnum","WoRMS","275694","Black Croaker",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSOR","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus","WoRMS","275694","Pacific Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSOR","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","sordidus","Citharichthys sordidus","WoRMS","275696","Pacific Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CSTI","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus","WoRMS","275696","Speckled Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CSTI","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","Citharichthys stigmaeus","WoRMS","277105","Speckled Sanddab",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CVEN","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum","Cephaloscyllium ventriosum","WoRMS","277105","Swell Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CVEN","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum","Cephaloscyllium ventriosum","WoRMS","277105","Swell Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","CVENEGG","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum EGG","Cephaloscyllium ventriosum EGG","WoRMS","280053","Swell Shark egg case","UCSB added in 2022",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes"
"UCSB","FISH","FISH","CVIO","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Cebidichthys violaceus","WoRMS","280053","Monkeyface Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","CVIO","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Cebidichthys violaceus","WoRMS","275355","Monkeyface Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EBIS","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","bison","Enophrys bison","WoRMS","240746","Buffalo Sculpin",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EJAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","WoRMS","240746","Black Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EJAC","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","WoRMS","240740","Black Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ELAT","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis","WoRMS","240740","Striped Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ELAT","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis","WoRMS","151386","Striped Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EMBI","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotocidae","spp","Embiotocidae","WoRMS","151386","Surfperches",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EMBI","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotocidae","spp","Embiotocidae","WoRMS","272286","Surfperches",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","EMOR","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax","WoRMS","272286","Northern Anchovy",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","EMOR","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax","WoRMS","280706","Northern Anchovy",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
