Date,mean_sst,Date_30,Date_60,SST_D30,SST_D60,SST_meanPLD_30,SST_maxPLD_30,SST_minPLD_30,SST_meanPLD_60,SST_maxPLD_60,SST_minPLD_60,SST_meanPLD_early,mean_sst_spawnwin,up_33,up_36,up_33_30,up_36_30,up_33_60,up_36_60,up33_meanPLD_30,up33_meanPLD_60,up36_meanPLD_30,up36_meanPLD_60,up33_meanPLD_early,up36_meanPLD_early,chla,chla_60,chla_meanPLD_30,chla_meanPLD_60,Mean_NPP,NPP_D30,NPP_D60,NPP_meanPLD_30,NPP_meanPLD_60,NPP_maxPLD_30,NPP_maxPLD_60,NPP_meanPLD_early,cuti_34,beuit_34N,cuti_30,beuti_30,cuti_60,beuti_60,cuti_maxPLD_30,cuti_maxPLD_60,cuti_meanPLD_30,cuti_meanPLD_60,beuti_maxPLD_30,beuti_maxPLD_60,beuti_meanPLD_30,beuti_meanPLD_60,cuti_meanPLD_early,beuti_meanPLD_early,slh_anom,slh_30,slh_60,slh_maxPLD_30,slh_maxPLD_60,slh_meanPLD_30,slh_meanPLD_60,slh_meanPLD_early
1/11/2000,NA,12/12/1999,11/12/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.184163655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285,2.606,0.148,0.757,-0.099,-0.061,2.254,2.967,0.369866667,0.5329,12.184,12.184,2.3215,2.121033333,0.695933333,1.920566667,NA,NA,NA,NA,NA,NA,NA,NA
1/12/2000,NA,12/13/1999,11/13/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,659,NA,NA,NA,NA,NA,NA,NA,-0.337,-3.019,1.049,4.608,-0.01,-0.006,2.254,2.967,0.323666667,0.52745,12.184,12.184,2.067266667,2.070816667,0.731233333,2.074366667,NA,NA,NA,NA,NA,NA,NA,NA
1/13/2000,NA,12/14/1999,11/14/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,494,NA,NA,NA,NA,NA,NA,NA,-0.144,-1.257,0.519,2.551,-0.117,-0.064,2.254,2.967,0.301566667,0.527,12.184,12.184,1.940333333,2.050933333,0.752433333,2.161533333,NA,NA,NA,NA,NA,NA,NA,NA
1/14/2000,NA,12/15/1999,11/15/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,475,NA,NA,NA,NA,NA,NA,NA,-0.045,-0.412,0.146,0.735,0.103,0.045,2.254,2.967,0.2952,0.524533333,12.184,12.184,1.9021,2.043316667,0.753866667,2.184533333,NA,NA,NA,NA,NA,NA,NA,NA
1/15/2000,NA,12/16/1999,11/16/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,344,NA,NA,NA,NA,NA,NA,NA,-0.421,-3.763,0.253,1.252,0.419,0.178,2.254,2.967,0.272733333,0.510533333,12.184,12.184,1.734933333,1.977633333,0.748333333,2.220333333,NA,NA,NA,NA,NA,NA,NA,NA
1/16/2000,NA,12/17/1999,11/17/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,421,NA,NA,NA,NA,NA,NA,NA,-0.422,-3.661,0.292,1.421,1.222,0.664,2.254,2.967,0.248933333,0.483133333,12.184,12.184,1.565533333,1.90555,0.717333333,2.245566667,NA,NA,NA,NA,NA,NA,NA,NA
1/17/2000,NA,12/18/1999,11/18/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,340,NA,NA,NA,NA,NA,NA,NA,-0.183,-1.541,1.098,5.319,0.245,0.243,2.254,2.967,0.206233333,0.476,12.184,12.184,1.336866667,1.875816667,0.745766667,2.414766667,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2000,NA,12/19/1999,11/19/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85086242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021,-0.157,0.476,2.441,-0.24,-0.231,2.254,2.967,0.189666667,0.47965,12.184,12.184,1.250266667,1.87705,0.769633333,2.503833333,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2000,NA,12/20/1999,11/20/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635877723,NA,NA,NA,466,NA,NA,NA,NA,NA,NA,NA,-0.076,-0.557,-0.242,-1.236,0.323,0.281,2.254,2.967,0.1952,0.473,12.184,12.184,1.2729,1.863083333,0.7508,2.453266667,NA,NA,NA,NA,NA,NA,NA,NA
1/20/2000,NA,12/21/1999,11/21/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635877723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,0.379,-0.104,-0.473,2.967,3.267,2.254,2.352,0.2004,0.424416667,12.184,12.184,1.3013,1.81495,0.648433333,2.3286,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2000,NA,12/22/1999,11/22/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460604333,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,0.309,2.153,-0.561,-2.584,0.942,1.671,2.254,2.352,0.2294,0.413866667,12.184,12.184,1.4592,1.822983333,0.598333333,2.186766667,NA,NA,NA,NA,NA,NA,NA,NA
1/22/2000,NA,12/23/1999,11/23/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460604333,NA,NA,NA,403,NA,NA,NA,NA,NA,NA,NA,-0.006,-0.034,-0.349,-1.613,0.839,1.743,2.254,2.352,0.240833333,0.399783333,12.184,12.184,1.511833333,1.793366667,0.558733333,2.0749,NA,NA,NA,NA,NA,NA,NA,NA
1/23/2000,NA,12/24/1999,11/24/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460604333,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,-0.316,-1.652,-0.289,-1.301,0.478,1.057,2.254,2.352,0.239933333,0.38655,12.184,12.184,1.500133333,1.748216667,0.533166667,1.9963,NA,NA,NA,NA,NA,NA,NA,NA
1/24/2000,NA,12/25/1999,11/25/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460604333,NA,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,-0.358,-1.809,0.163,0.662,0.439,0.983,2.254,2.352,0.222566667,0.373266667,12.184,12.184,1.417766667,1.701683333,0.523966667,1.9856,NA,NA,NA,NA,NA,NA,NA,NA
1/25/2000,NA,12/26/1999,11/26/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.460604333,NA,NA,NA,353,NA,NA,NA,NA,NA,NA,NA,-0.349,-1.64,0.025,0.096,0.719,1.623,2.254,2.352,0.2101,0.355466667,12.184,12.184,1.3599,1.6473,0.500833333,1.9347,NA,NA,NA,NA,NA,NA,NA,NA
1/26/2000,NA,12/27/1999,11/27/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672384622,NA,NA,NA,585,NA,NA,NA,NA,NA,NA,NA,1.861,7.418,-0.065,-0.245,0.379,0.854,2.254,2.352,0.2743,0.380166667,12.184,12.184,1.615333333,1.7567,0.486033333,1.898066667,NA,NA,NA,NA,NA,NA,NA,NA
1/27/2000,NA,12/28/1999,11/28/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2052769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665,2.808,-0.027,-0.098,-0.234,-0.528,2.254,2.352,0.297366667,0.39515,12.184,12.184,1.7122,1.8123,0.492933333,1.9124,NA,NA,NA,NA,NA,NA,NA,NA
1/28/2000,NA,12/29/1999,11/29/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.180608246,NA,NA,NA,822,NA,NA,NA,NA,NA,NA,NA,0.145,0.631,0.291,1.15,-0.087,-0.187,2.254,2.352,0.2925,0.399016667,12.184,12.184,1.6949,1.825933333,0.505533333,1.956966667,NA,NA,NA,NA,NA,NA,NA,NA
1/29/2000,NA,12/30/1999,11/30/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.180608246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,-0.263,0.173,0.724,0.46,0.967,2.254,2.352,0.284733333,0.39035,12.184,12.184,1.662,1.805433333,0.495966667,1.948866667,NA,NA,NA,NA,NA,NA,NA,NA
1/30/2000,NA,12/31/1999,12/1/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,3,-65,NA,NA,NA,NA,34.86666667,NA,23.63333333,NA,NA,NA,1.180608246,NA,0.979063127,NA,603,NA,NA,529.0869565,NA,822,NA,NA,-0.444,-2.252,0.158,0.714,2.18,5.193,2.254,2.352,0.264666667,0.346616667,12.184,12.184,1.563133333,1.68135,0.428566667,1.799566667,NA,NA,NA,NA,NA,NA,NA,NA
1/31/2000,NA,1/1/2000,12/2/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,51,-1,154,204,NA,NA,31.43333333,NA,16.8,NA,NA,NA,2.969394467,NA,1.056842143,NA,772,596,NA,536.7391304,NA,822,NA,NA,0.517,2.591,0.763,3.732,1.75,5.35,2.254,2.352,0.256466667,0.326066667,12.184,12.184,1.5251,1.635366667,0.395666667,1.745633333,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2000,NA,1/2/2000,12/3/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-11,-15,178,211,NA,NA,25.13333333,NA,9.266666667,NA,NA,NA,1.165110365,NA,1.049566561,NA,827,NA,NA,548.8333333,NA,827,NA,NA,0.498,2.506,2.254,12.184,0.956,3.556,1.861,2.352,0.197933333,0.318433333,11.33,12.184,1.2025,1.617866667,0.438933333,2.033233333,NA,NA,NA,NA,NA,NA,NA,NA
2/2/2000,NA,1/3/2000,12/4/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-62,-133,4,43,NA,NA,22.93333333,NA,3.4,NA,NA,NA,1.279030995,NA,1.06450714,NA,965,615,NA,563.4166667,NA,965,NA,NA,-0.352,-1.705,0.348,2.051,-0.521,-1.957,1.861,2.352,0.1746,0.32125,11.33,12.184,1.0773,1.622066667,0.4679,2.166833333,NA,NA,NA,NA,NA,NA,NA,NA
2/3/2000,NA,1/4/2000,12/5/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-22,-146,20,68,NA,NA,21.53333333,NA,-3.733333333,NA,NA,NA,1.418655928,NA,1.071571921,NA,986,643,NA,577.7083333,NA,986,NA,NA,-0.459,-1.947,0.084,0.504,0.023,0.073,1.861,2.352,0.1565,0.313216667,11.33,12.184,0.9956,1.5884,0.469933333,2.1812,NA,NA,NA,NA,NA,NA,NA,NA
2/4/2000,NA,1/5/2000,12/6/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,6,-78,36,108,NA,NA,20.53333333,NA,-9.933333333,NA,NA,NA,1.418655928,NA,1.086199359,NA,766,647,NA,582.6666667,NA,986,NA,NA,-0.283,-1.194,1.156,6.972,0.815,2.66,1.861,2.352,0.108533333,0.294916667,11.33,12.184,0.7234,1.524166667,0.4813,2.324933333,NA,NA,NA,NA,NA,NA,NA,NA
2/5/2000,NA,1/6/2000,12/7/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,7,-56,-13,11,NA,NA,21.2,NA,-12.16666667,NA,NA,NA,1.499380721,NA,1.09346283,NA,NA,627,NA,580.7391304,NA,986,NA,NA,-0.284,-1.226,0.013,0.098,2.175,8.244,1.861,2.352,0.098633333,0.253933333,11.33,12.184,0.679266667,1.366333333,0.409233333,2.0534,NA,NA,NA,NA,NA,NA,NA,NA
2/6/2000,NA,1/7/2000,12/8/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-3,-78,9,30,NA,NA,20.8,NA,-15.76666667,NA,NA,NA,1.124267441,NA,1.088222524,NA,979,551,NA,599.3478261,NA,986,NA,NA,0.096,0.421,0.419,3.261,1.252,6.004,1.861,2.352,0.087866667,0.234666667,11.33,12.184,0.5846,1.273283333,0.381466667,1.961966667,NA,NA,NA,NA,NA,NA,NA,NA
2/7/2000,NA,1/8/2000,12/9/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-1,-35,18,57,NA,NA,20.16666667,NA,-18.83333333,NA,NA,NA,1.124267441,NA,1.080464157,NA,NA,581,NA,600.1818182,NA,986,NA,NA,0.126,0.564,0.592,4.843,-0.014,-0.061,1.861,2.352,0.072333333,0.237,11.33,12.184,0.441966667,1.2837,0.401666667,2.125433333,NA,NA,NA,NA,NA,NA,NA,NA
2/8/2000,NA,1/9/2000,12/10/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,26,7,27,80,NA,NA,20.13333333,NA,-21.26666667,NA,NA,NA,1.124267441,NA,1.008204822,NA,682,NA,NA,603.7391304,NA,986,NA,NA,-0.001,-0.005,0.932,7.941,2.352,10.588,1.861,2.254,0.041233333,0.197783333,11.33,12.184,0.1771,1.10715,0.354333333,2.0372,NA,NA,NA,NA,NA,NA,NA,NA
2/9/2000,NA,1/10/2000,12/11/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,58,-14,58,50,NA,NA,20.13333333,NA,-23.4,NA,NA,NA,1.124267441,NA,1.012725405,NA,824,638,NA,611.826087,NA,986,NA,NA,0.041,0.178,1.244,11.33,0.915,4.65,1.861,2.254,0.001133333,0.183216667,7.418,12.184,-0.194633333,1.032616667,0.3653,2.259866667,NA,NA,NA,NA,NA,NA,NA,NA
2/10/2000,NA,1/11/2000,12/12/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,58,-3,55,26,NA,NA,20.23333333,NA,-24.36666667,NA,NA,NA,1.124267441,NA,1.010728864,NA,815,NA,NA,620.2916667,NA,986,NA,NA,-0.145,-0.615,0.285,2.606,0.148,0.757,1.861,2.254,-0.0132,0.178333333,7.418,12.184,-0.302,1.00975,0.369866667,2.3215,NA,NA,NA,NA,NA,NA,NA,NA
2/11/2000,NA,1/12/2000,12/13/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,30,-73,20,8,NA,NA,20.56666667,NA,-27.06666667,NA,NA,NA,1.124267441,NA,1.019842365,NA,834,659,NA,627.5833333,NA,986,NA,NA,0.084,0.458,-0.337,-3.019,1.049,4.608,1.861,2.254,0.000833333,0.16225,7.418,12.184,-0.1861,0.940583333,0.323666667,2.067266667,NA,NA,NA,NA,NA,NA,NA,NA
2/12/2000,NA,1/13/2000,12/14/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,43,-19,-6,-38,NA,NA,22.2,NA,-26.43333333,NA,NA,NA,1.124267441,NA,1.028955866,NA,934,494,NA,645.9166667,NA,986,NA,NA,0.078,0.421,-0.144,-1.257,0.519,2.551,1.861,2.254,0.008233333,0.1549,7.418,12.184,-0.130166667,0.905083333,0.301566667,1.940333333,NA,NA,NA,NA,NA,NA,NA,NA
2/13/2000,NA,1/14/2000,12/15/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,26,-115,1,-3,NA,NA,23.03333333,NA,-30.16666667,NA,NA,NA,1.124267441,NA,1.038069366,NA,757,475,NA,657.6666667,NA,986,NA,NA,-0.1,-0.528,-0.045,-0.412,0.146,0.735,1.861,2.254,0.0064,0.1508,7.418,12.184,-0.134033333,0.884033333,0.2952,1.9021,NA,NA,NA,NA,NA,NA,NA,NA
2/14/2000,NA,1/15/2000,12/16/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,35,-33,4,-69,NA,NA,24.06666667,NA,-28.96666667,NA,NA,NA,1.124267441,NA,1.047182867,NA,NA,344,NA,671.3043478,NA,986,NA,NA,0.018,0.095,-0.421,-3.763,0.253,1.252,1.861,2.254,0.021033333,0.146883333,7.418,12.184,-0.005433333,0.86475,0.272733333,1.734933333,NA,NA,NA,NA,NA,NA,NA,NA
2/15/2000,NA,1/16/2000,12/17/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,15,2,5,8,NA,NA,24.4,NA,-29.16666667,NA,NA,NA,3.140864615,NA,1.123516273,NA,1070,421,NA,699.5217391,NA,1070,NA,NA,0.071,0.336,-0.422,-3.661,0.292,1.421,1.861,2.254,0.037466667,0.1432,7.418,12.184,0.1278,0.846666667,0.248933333,1.565533333,NA,NA,NA,NA,NA,NA,NA,NA
2/16/2000,NA,1/17/2000,12/18/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,86,23,-3,-22,NA,NA,27.36666667,NA,-27.66666667,NA,NA,NA,3.140864615,NA,1.19984968,NA,NA,340,NA,715.8636364,NA,1070,NA,NA,0.204,0.945,-0.183,-1.541,1.098,5.319,1.861,2.254,0.050366667,0.1283,7.418,12.184,0.210666667,0.773766667,0.206233333,1.336866667,NA,NA,NA,NA,NA,NA,NA,NA
2/17/2000,NA,1/18/2000,12/19/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,43,20,14,-18,NA,NA,28.33333333,NA,-26.4,NA,NA,NA,1.011545179,NA,1.205205772,NA,1610,NA,NA,754.7391304,NA,1610,NA,NA,1.127,5.351,-0.021,-0.157,0.476,2.441,1.861,2.254,0.088633333,0.13915,7.418,12.184,0.394266667,0.822266667,0.189666667,1.250266667,NA,NA,NA,NA,NA,NA,NA,NA
2/18/2000,NA,1/19/2000,12/20/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-41,-35,14,-14,NA,NA,26.5,NA,-27.1,NA,NA,NA,1.609488774,NA,1.237659474,NA,1696,466,NA,808.2173913,NA,1696,NA,NA,-0.143,-0.722,-0.076,-0.557,-0.242,-1.236,1.861,2.254,0.0864,0.1408,7.418,12.184,0.388766667,0.830833333,0.1952,1.2729,NA,NA,NA,NA,NA,NA,NA,NA
2/19/2000,NA,1/20/2000,12/21/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-88,-67,58,25,NA,NA,21.63333333,NA,-30.16666667,NA,NA,NA,1.053795875,NA,1.251590079,NA,1495,NA,NA,836.8333333,NA,1696,NA,NA,-0.422,-2.28,0.052,0.379,-0.104,-0.473,1.861,2.254,0.0706,0.1355,7.418,12.184,0.300133333,0.800716667,0.2004,1.3013,NA,NA,NA,NA,NA,NA,NA,NA
2/20/2000,NA,1/21/2000,12/22/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,-91,-197,82,17,NA,NA,15.86666667,NA,-37.3,NA,NA,NA,1.053795875,NA,1.27136313,NA,1302,436,NA,872.9166667,NA,1696,NA,NA,-1.18,-6.286,0.309,2.153,-0.561,-2.584,1.861,2.254,0.020966667,0.125183333,7.418,12.184,0.018833333,0.739016667,0.2294,1.4592,NA,NA,NA,NA,NA,NA,NA,NA
2/21/2000,NA,1/22/2000,12/23/1999,NA,NA,NA,#NAME?,Inf,NA,NA,NA,NA,NA,32,-2,30,-20,NA,NA,15.93333333,NA,-36.7,NA,NA,NA,0.554872816,NA,1.274505413,NA,1527,403,NA,919.75,NA,1696,NA,NA,0.525,2.808,-0.006,-0.034,-0.349,-1.613,1.861,2.254,0.038666667,0.13975,7.418,12.184,0.113566667,0.8127,0.240833333,1.511833333,NA,NA,NA,NA,NA,NA,NA,NA
2/22/2000,12.48439596,1/23/2000,12/24/1999,NA,NA,12.48439596,12.48439596,12.48439596,NA,NA,NA,NA,NA,13,-71,1,-120,NA,NA,16.33333333,NA,-35.06666667,NA,NA,NA,0.554872816,NA,1.277647695,NA,947,420,NA,941.7083333,NA,1696,NA,NA,0.353,1.953,-0.316,-1.652,-0.289,-1.301,1.861,2.254,0.060966667,0.15045,7.418,12.184,0.233733333,0.866933333,0.239933333,1.500133333,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2000,NA,1/24/2000,12/25/1999,NA,NA,12.48439596,12.48439596,12.48439596,NA,NA,NA,NA,NA,90,62,3,-42,NA,NA,19.23333333,NA,-31.6,NA,NA,NA,0.878861849,NA,1.291589613,NA,NA,450,NA,963.0869565,NA,1696,NA,NA,0.842,4.719,-0.358,-1.809,0.163,0.662,1.861,2.254,0.100966667,0.161766667,7.418,12.184,0.451333333,0.93455,0.222566667,1.417766667,NA,NA,NA,NA,NA,NA,NA,NA
2/24/2000,NA,1/25/2000,12/26/1999,NA,NA,12.48439596,12.48439596,12.48439596,NA,NA,NA,NA,NA,110,5,75,97,NA,NA,20.4,NA,-34.66666667,NA,NA,NA,1.36955594,NA,1.321888,NA,1143,353,NA,997.4347826,NA,1696,NA,NA,1.581,9.767,-0.349,-1.64,0.025,0.096,1.861,2.254,0.1653,0.1877,9.767,12.184,0.831566667,1.095733333,0.2101,1.3599,NA,NA,NA,NA,NA,NA,NA,NA
